rownames,project_id,created,modified,name,code,on_the_field_project_code,locality,project_start_date,project_end_date,description_text,description_html,is_billable,guid,created_by_id,last_modification_by_id,division_id,activity_id,funding_type_id,pathology_id,country_id,responsible_id,analytical_axe_id,status,short_name,level,final_impact_comments,initiation_of_the_project_comments,partners_comments,topic_comments,study_pouplation_comments,population_comments,goal_comments,numbers_of_epidemiologist,term_of_reference_has_been_written,protocol_has_been_written,is_there_an_initial_restitution,is_there_a_report_to_be_delivered,is_there_an_article_to_be_submitted,trigger_comments,has_ethical_review_bord,various_countries,sponsor,other_final_impact,goal_id,trigger_id,security_context_id,population_id,role_of_epicentre_id,impact_expected_id,health_structure_id,study_design_id,methodology_id,data_type_id,linked_project_id,topic_id,creation_id
200,200,2013-11-08 ,2016-08-31 ,Réponse aux épidémies  Soudan  MSF-OCP,841094,"","",2013-01-01,2015-12-31,"","",1,,,60,5,3,1,20,5,16,201,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
201,201,2013-11-08 ,2013-12-05 ,T - Training - Tchad -  - Réponse aux épidémies - MSF-F -  -  -  - ,841095,"","",2013-01-01,2013-12-31,"","",1,,,60,5,3,1,20,9,16,202,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
202,202,2013-11-08 ,2013-12-05 ,T - Training -  -  - Formation des Cadres - Session 1/Avril - MSF-F -  -  -  - ,841100,"","",2013-01-01,2013-12-31,"","",1,,,60,5,3,1,20,3,16,203,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
203,203,2013-11-08 ,2014-02-05 ,T - Training -  -  - Formation des Cadres - Session 2/Octobre - MSF-F -  -  -  - ,841099,"","",2013-01-01,2013-12-31,"","",1,,,60,5,3,1,20,3,16,204,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
204,204,2013-11-08 ,2013-12-05 ,T - Training - Ouganda - Kampala - Réponse aux urgences et aux épidémies - MSF-CH -  -  -  - ,842096,"","",2013-01-01,2013-12-31,"","",1,,,60,5,3,1,20,13,16,205,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
205,205,2013-11-08 ,2013-12-05 ,T - Training - France - Créteil - University course - U. Creteil -  -  -  - ,843089,"","",2013-01-01,2013-12-31,"","",1,,,60,5,3,1,20,3,16,206,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
206,206,2013-11-08 ,2013-12-05 ,T - Training - France - Rennes - University course - U. Rennes -  -  -  - ,843090,"","",2013-01-01,2013-12-31,"","",1,,,60,5,3,1,20,3,16,207,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
207,207,2013-11-08 ,2013-12-11 ,T - Training - Australie - Sydney - E-Response training course - MSF-F -  -  -  - ,841098,"","",2013-01-01,2013-12-31,"","",1,,,60,5,3,1,20,26,16,208,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
208,208,2013-11-08 ,2021-03-01 ,Holidays  sick leave  recuperation days (dates to be specified),CONGES,"","",2013-01-01,2021-12-01,Holidays  sick leave  recuperation days (dates to be specified),"",0,,,161,3,8,1,19,3,173,209,2,"",1,,,"","","","",,0,,,,,,"",,0,"","",,,,,,,,,,,,78,0D2876BF-FAA5-431C-904C-FAF3AC9010D0
209,209,2013-11-08 ,2020-10-26 ,Plan de formation interne,80FOIN,"","",2014-01-01,2021-12-01,Plan de formation interne,"",0,,,165,3,7,1,19,3,59,210,2,"",1,,,"","","","",,0,,,,,,"",,0,"","",,,,,,,,,,,,78,84102B03-F450-4B36-9A9F-70EEC585B41D
210,210,2013-11-08 ,2019-01-10 ,Activities unrelated to a specific course (training department) ,84GENE,"","",2013-01-01,2014-12-31,Activities unrelated to a specific course (training department) ,"",0,,,130,3,5,1,19,,58,211,4,Activities,,,,"","","","",,0,,,,,,"",,0,"","",,,,,,,,,,,,78,
211,211,2013-11-08 ,2021-01-19 ,Activities unrelated to a specific project,80GENE,"","",2013-01-01,2021-12-01,Unrelated,Unrelated,0,,,176,3,5,1,19,3,173,212,2,"",1,,,"","","","",,0,,,,,,"",,0,"","",,,,,,,,,,,,78,B945D822-E8CE-4CBC-8090-7F05AC594F53
212,212,2013-11-08 ,2019-01-10 ,S - None -  -  - Support méthodologique -  -  -  -  - ,80SUME,"","",2013-01-01,2013-12-31,S - None -  -  - Support méthodologique -  -  -  -  - ,"",1,,,130,3,5,1,19,,58,213,4,"",,,,"","","","",,0,,,,,,"",,0,"","",,,,,,,,,,,,78,
213,213,2013-11-08 ,2018-08-07 ,Mortalité maternelle  Côte d'Ivoire ,811249,"","",2013-01-01,2015-12-31,Mortalité maternelle  Côte d'Ivoire ,"",1,,,130,8,1,1,6,31,39,214,4,"",4,,,"","","","",,1,,,,,,"",,0,"","",6,6,,2,1,4,,1,5,3,,71,
214,214,2013-11-08 ,2018-08-09 ,Technical follow up data collection  intersection  Syria,814250,"","",2013-01-01,2014-12-31,Technical follow up data collection  intersection  Syria,"",1,,,130,5,1,1,19,32,33,215,4,"",1,,,"","","","",,1,,,,,,"",,0,"","",6,5,1,3,1,4,,1,12,2,,75,
215,215,2013-11-08 ,2018-08-07 ,Serologic survey of Hepatitis E  Yida  South Sudan,811251,"","",2013-01-01,2014-12-31,Serologic survey of Hepatitis E  Yida  South Sudan,"",1,,,130,5,1,1,24,5,8,216,4,"",4,,,"","","","",,1,,,,,,"",,0,"","",4,2,1,1,1,4,,1,1,3,,17,
216,216,2013-11-08 ,2019-01-10 ,Vaccination coverage and effectiveness of OCV  Kalemie  RDC,811252,"",Kalemie,2013-01-01,2018-07-31,Description,Description,1,,,130,7,1,1,22,1,24,217,4,"",4,,,"","","","",,1,0,0,0,0,0,"",0,0,"","",1,2,4,2,1,4,,1,1,3,,6,
217,217,2013-11-08 ,2018-08-07 ,Systematic clinical description of suspected rickets cases  Yemen,811253,"","",2013-01-01,2014-12-31,Systematic clinical description of suspected rickets cases  Yemen,"",1,,,130,7,1,1,19,33,48,218,4,"",1,,,"","","","",,1,,,,,,"",,0,"","",1,6,3,2,1,,,1,5,4,,36,
218,218,2013-11-08 ,2018-08-07 ,C - Surveillance - Uganda - Bundibugyo - DRC Refugees in Bundibugyo camp  - MSF-F -  -  -  - ,811254,"","",2013-01-01,2013-12-31,Surveillance - Uganda - Bundibugyo - DRC Refugees in Bundibugyo camp  - MSF-F,"",1,,,130,7,1,1,7,13,20,219,4,"",4,,,"","","","",,1,,,,,,"",,0,"","",5,1,4,1,1,4,,1,12,2,,75,
219,219,2013-11-08 ,2018-08-06 ,C - Cholera - Haiti -  - Case control study  transmission cholera - MSF-F -  -  -  - ,811150,"","",2013-01-01,2013-12-31,C - Cholera - Haiti -  - Case control study  transmission cholera - MSF-F,"",1,,,130,5,1,1,22,7,20,220,4,"",2,,,"","","","",,1,,,,,,"",,0,"","",,2,,2,6,4,,1,2,3,,6,
220,220,2013-11-08 ,2019-05-29 ,Enquête CV rougeole et mortalité retrospective  Aketi  RDC   MSF-CH,812255,"","",2013-01-01,2014-12-31,Enquête  retrospective après une épidémie massive  dans une Zone de Santé (> 10 000 cas) pour évaluer le taux d'attaque et la létalité lié à la rougeole et ses determinants,"",1,,,62,5,1,1,23,1,62,221,4,"",4,,,"","","","",,2,,,,,,"",0,0,"",article : https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0194276,6,2,4,2,1,1,,1,1,3,,43,
221,221,2013-11-08 ,2018-08-01 ,Pathologies environnementales  MSF-OCG,812256,"","",2013-01-01,2015-12-31,Pathologies environnementales  MSF-OCG,"",1,,,130,5,1,1,19,285,62,222,4,"",1,,,"","","","",,1,,,,,,"",0,0,"","",1,6,4,2,2,1,,4,10,6,,55,
222,222,2013-11-08 ,2018-08-05 ,Analyse de l impact des actions préventives et curatives de MSF-OCG,812257,"","",2013-01-01,2018-05-31,Description,Description,1,,,130,5,1,1,19,285,62,223,4,"",1,,,"","","","",,1,,,,,,"",,0,"","",6,6,4,3,2,4,,4,9,4,,75,
223,223,2013-11-08 ,2018-08-05 ,Analyse des méthodes d évaluations dans les zones non accessibles ou à accès limité  MSF-OCG,812258,"","",2013-01-01,2015-12-31,Analyse des méthodes d évaluations dans les zones non accessibles ou à accès limité  MSF-OCG,"",1,,,130,5,1,1,19,285,62,224,4,"",1,,,"","","","",,1,,,,,,"",,0,"","",6,6,,3,2,4,,4,9,4,,75,
224,224,2013-11-08 ,2021-11-05 ,Support ad hoc aux opérations  MSF-OCG (XO400),812259,XO500,"",2013-01-01,2022-12-01,Support et appui pour l utilisation et la mise en  uvre de l épidémiologie dans les opérations de MSF-OCG à la demande des cellules. Cette appui peut comprendre entre autre&nbsp;: l aide et le suivi d enquête terrain menées par les équipes MSF  l aide à l investigation d épidémie   l analyse des données médicales  le conseil dans le choix des études et enquêtes.,Support et appui pour l utilisation et la mise en  uvre de l épidémiologie dans les opérations de MSF-OCG à la demande des cellules. Cette appui peut comprendre entre autre&nbsp;: l aide et le suivi d enquête terrain menées par les équipes MSF  l aide à l investigation d épidémie   l analyse des données médicales  le conseil dans le choix des études et enquêtes.<br />,1,,,176,7,1,1,19,76,62,225,2,"",1,,,"","","","",,1,,,,,,"",,0,"","",1,6,4,2,2,4,,4,10,6,,78,832C6C35-2D34-4D09-8DA8-D721F90D47BE
225,225,2013-11-08 ,2018-08-09 ,Support aux enquêtes terrain  MSF-OCG,812260,"","",2013-01-01,2015-12-31,Support aux enquêtes terrain  MSF-OCG,"",1,,,130,7,1,1,19,76,62,226,4,"",1,,,"","","","",,1,,,,,,"",,0,"","",6,6,4,,2,4,,4,10,6,,78,
226,226,2013-11-08 ,2018-08-07 ,Analysis of the snake bite antivenom database  CAR,811261,"","",2013-01-01,2014-12-31,Analysis of the snake bite antivenom database  CAR,"",1,,,130,8,1,1,19,4,18,227,4,"",1,,,"","","","",,1,,,,,,"",,0,"","",2,6,3,2,1,1,,1,5,4,,67,
227,227,2013-11-08 ,2019-02-20 ,PCV Vaccine coverage and monitoring  Yida  South Sudan,811262,"","",2013-01-01,2014-12-31,PCV Vaccine coverage and monitoring  Yida  South Sudan,"",1,,,130,8,1,1,19,5,8,228,4,"",4,,,"","",Population PCV,"",,1,,,,,,"",,0,"","",4,1,,1,1,4,,1,1,3,,41,
228,228,2013-11-08 ,2018-08-07 ,Development and validation of pedagogic tools for monthly follow up of uncomplicated SAM by mothers,811263,"","",2013-01-01,2014-12-31,Development and validation of pedagogic tools for monthly follow up of uncomplicated SAM by mothers,"",1,,,130,1,1,1,5,10,49,229,4,"",1,,,"","","","",,1,,,,,,"",,0,"","",1,3,,2,1,1,,3,13,4,,59,
229,229,2013-11-08 ,2017-11-12 ,High dose RMP and ARV interaction study  Mbarara  ANRS,823446,UG959,Mbarara,2013-01-01,2016-12-31,Financement sur le code OCP 821359,Financement sur le code OCP 821359,1,,,60,1,2,1,31,13,37,230,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,40,
230,230,2013-11-08 ,2015-09-28 ,Hepatitis C preliminary assessment  Cairo  Egypt,822447,"",Cairo,2013-01-01,2015-12-31,"","",1,,,60,5,2,1,10,34,17,231,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,16,
231,231,2013-11-08 ,2018-08-05 ,Active Case Finding for TB amongst elderly patients  Cambodia,821448,"","",2013-01-01,2015-12-31,Active Case Finding for TB amongst elderly patients  Cambodia,"",1,,,130,5,9,1,31,19,9,232,4,"",4,,,"","",Elderly people,"",,1,,,,,,"",,0,"","",,,4,2,2,4,,,,,,40,
232,232,2013-11-08 ,2018-08-05 ,Plan stratégique,821573,"","",2013-01-01,2015-12-31,Plan stratégique,"",1,,,130,4,2,1,19,3,19,476,4,"",1,,,"","","","",,0,,,,,,"",,0,"","",,,,,,,,,,,,78,
233,233,2013-11-08 ,2015-01-21 ,Vaccine Coverage and Effectiveness Protocols for Oral Cholera Vaccine,823449,"","",2013-01-01,2014-12-31,"","",1,,,60,1,2,1,22,,43,234,4,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,6,
234,234,2013-11-08 ,2014-10-05 ,Oral Cholera Vaccine Guinea - Scientific Communication ,822450,"","",2013-01-01,2014-12-31,"","",1,,,43,1,2,1,22,,24,235,4,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,6,
235,235,2013-11-08 ,2018-08-01 ,Mortality and VC  Jonglei State  South Sudan,812264,"","",2013-01-01,2014-12-31,Etude de mortalité et couverture vaccinale. South Sudan,"",1,,,130,5,1,1,6,5,33,236,4,Health status Jonglei State,4,,,"","","","",,1,,,,,,"",0,0,"","",6,1,1,3,1,4,,1,1,3,,70,
236,236,2013-11-08 ,2018-08-09 ,Nutritional survey and implmentation of nutritional surveillance  Aweil  South Sudan,811200,"","",2013-01-01,2014-12-31,Nutritional survey and implementation of nutritional surveillance  Aweil  South Sudan,"",1,,,130,5,1,1,5,5,33,237,4,"",4,,,"","","","",,1,,,,,,"",,0,"","",6,3,1,,1,,,1,1,3,,72,
237,238,2013-11-21 ,2014-01-29 ,Facteurs associés aux retards aux rendez-vous - CARNOT,821455,"",Carnot,2014-01-01,2014-12-31,1. Analyse préliminaire de la base FUCHIA (description des patients)2. Développement d'un questionnaire avec le terrain3. Analyse des données (étude cas-témoins),1. Analyse préliminaire de la base FUCHIA (description des patients)<br />2. Développement d'un questionnaire avec le terrain<br />3. Analyse des données (étude cas-témoins)<br />,1,,21,60,2,2,1,3,4,21,248,1,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,20,
238,239,2013-11-21 ,2018-10-18 ,Unitaid funded - POC  M&E  Impact  Feasibility  Outcome ,821456,"",Chiradzulu - Arua,2014-01-01,2015-12-31,Ancien code 821456.Description :1. Développement de rapports automatisés pour le calcul des indicateurs Unitaid communs à tous les projets2. Support / maintenance de REDCap3. Impact  faisabilité et outcomes des systèmes POC en décentralisé (calcul des indicateurs décidés avec Liza  Monique et Suna),<p>Ancien code 821456.<br /></p><p>Description :<br /></p><p>1. Développement de rapports automatisés pour le calcul des indicateurs Unitaid communs à tous les projets<br />2. Support / maintenance de REDCap</p><p>3. Impact  faisabilité et outcomes des systèmes POC en décentralisé (calcul des indicateurs décidés avec Liza  Monique et Suna)<br /></p>,1,,21,130,8,2,1,3,285,21,249,4,"",1,,,"","","","",,0,,,,,,"",,0,"","",,,,,,,,,,,,20,
239,240,2013-11-21 ,2015-01-12 ,R - HIV / AIDS - code à supprimer,821457,"",Chiradzulu - Arua,2014-01-01,2014-12-31,A supprimer - LIgne regroupée avec le code 821456,A supprimer - LIgne regroupée avec le code 821456<br />,1,,21,60,2,2,1,3,15,21,250,1,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,20,
240,241,2013-11-21 ,2016-08-31 ,Kaposi - Analyse descriptive ARV/Bléomycine,821458,"",Homabay,2014-01-01,2015-12-31,Dernières analyses sur les facteurs associés à la réponse au traitementFinalisation de l'article,<p>Dernières analyses sur les facteurs associés à la réponse au traitement</p><p>Finalisation de l'article<br /></p>,1,,21,60,1,2,1,3,14,21,251,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,20,
241,242,2013-11-21 ,2016-07-11 ,Support méthodologique  VIH/SIDA,821459,"","",2014-01-01,2015-12-31,"","",1,,21,60,5,9,1,3,3,21,252,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,20,
242,243,2013-11-21 ,2014-02-05 ,R - HIV / AIDS  - Fuchia Maintenance & Support: v 1.7.1 - MSF-F - MSF-B - MSF-CH - MSF-H - MSF-E,821460,"","",2014-01-01,2014-12-31,Help desk Fuchia - Queries from the field / HQ  corrupted databases - Maintenance of Fuchia (bugs),Help desk Fuchia - Queries from the field / HQ  corrupted databases - Maintenance of Fuchia (bugs)<br />,1,,21,60,2,2,1,3,,21,253,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,20,
243,244,2013-11-21 ,2016-07-11 ,Fuchia Maintenance & Support: v 1.7.1,824461,"","",2014-01-01,2015-12-31,Correction de bugs  réparation de bases corrompues  questions sur l'utilisation de FUCHIA ou sur l'interprétation des rapports et exports,<p>Correction de bugs  réparation de bases corrompues  questions sur l'utilisation de FUCHIA ou sur l'interprétation des rapports et exports<br /></p>,1,,21,60,5,9,1,3,,21,254,4,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,20,
244,245,2013-11-22 ,2018-08-07 ,Community surveillance  Syria  MSF-F ,811272,"",Alfa,2013-11-22,2014-12-31,Community surveillance  Syria  MSF-F ,"",1,,60,130,7,1,1,19,32,33,255,4,"",1,,,"","","","",,1,,,,,,"",,0,"","",5,5,1,2,1,4,,1,12,2,,75,
245,246,2013-11-25 ,2018-08-07 ,Co-administration of OCV and OPV : immunological and safety outcomes,821462,"",Kalémie,2013-10-01,2014-12-31,Desk Congo/MarcelaFinancement : MSF France va percevoir 400K  d'ECHO (pour 2014)=&gt;à ne pas intégrer dans l'enveloppe MSF F,<p>Desk Congo/Marcela<br /></p><p>Financement : MSF France va percevoir 400K  d'ECHO (pour 2014)=&gt;à ne pas intégrer dans l'enveloppe MSF F<br /></p>,1,,60,130,1,2,1,1,1,24,256,4,"",1,,,"","","","",,1,,,,,,"",,0,"","",4,6,4,2,1,1,,1,5,3,,41,
246,247,2013-11-25 ,2016-10-26 ,Humanitarian situation and needs of Syrian refugees in Iraq-Kurdistan,812273,"","",2013-08-01,2014-10-31,"","",1,,20,60,5,1,1,6,35,33,257,4,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,71,
247,249,2013-11-27 ,2019-12-24 ,TB diagnosis of acutely ill children  Mbarara,821463,UG962,Mbarara,2013-11-27,2019-12-31,Evaluation of the urine LAM for diagnosis of tuberculosis in children admitted in acutely sick condition,Evaluation of the urine LAM for diagnosis of tuberculosis in children admitted in acutely sick condition<br />,1,,37,43,1,2,1,31,13,37,258,4,"",4,,,"","","","",,0,0,0,0,0,0,"",1,0,"","",3,6,4,2,1,4,,1,8,3,,40,B97BBC01-F084-44DE-9AF3-F1B9A4FDB402
248,253,2013-12-02 ,2019-01-10 ,Statis Trial  Mbarara  ANRS,823465,UG961,Mbarara,2013-12-02,2018-12-31,Clinical trial comparting extensive TB screening and HIV systematic treatment in HIV infected patientsFinancement : 647 327 EUR,<p>Clinical trial comparting extensive TB screening and HIV systematic treatment in HIV infected patients</p><p>Financement : 647 327 EUR</p>,1,,37,130,1,2,1,31,13,37,291,4,"",4,,,"","","","",,1,1,1,0,0,0,"",1,0,"","",6,6,4,2,4,1,,1,4,3,,40,
249,254,2013-12-02 ,2019-01-10 ,Frais de fonctionnement à répartir,80GREP,"","",2013-01-01,2016-12-31,Frais de fonctionnement à répartir,"",0,,60,130,3,5,1,19,3,104,263,4,"",1,,,"","","","",,0,,,,,,"",,0,"","",,,,,,,,,,,,78,
250,255,2013-12-02 ,2019-03-05 ,Marqueurs génétiques de la résistance à la sulfadoxine-pyrimethamine et à l amodiaquine après deux années de chimio prévention du paludisme saisonnier dans le district sanitaire de Moïssala  Tchad,821466,TD192,Moissala,2014-01-01,2015-12-31,SUMMARY  Background  Les résultats de l évaluation sur les marqueurs moléculaires de la résistance à la sulfadoxine-pyriméthamine et à l amodiaquine réalisée avant la mise en place de la CPS à Moïssala (Tchad) en 2012 donnent une certaine confiance quant à l utilisation de la combinaison SP+AQ&nbsp;; toutefois  la quasi-fixation des génotypes mutants du gène phdhfr justifie une surveillance rapprochée de l évolution.  En 2014 nous avons réalisé une évaluation de la mutation des marqueurs de la résistance à la SP et à l AQ dans des zones après un ou deux cycles de CPS.  Objectives  Estimer la proportion d infections à P. falciparum avec des mutations dans les marqueurs pfdhfr et pfdhps pour le SP et pfcrt et pfmdr pour l AQ&nbsp;;Comparer les proportions de mutations moléculaires entre les aires de santé qui ont eu deux rounds de CPS  les aires de santé qui ont un round de CPS et les aires de santé qui n ont pas encore eu aucun CPS  mais qui l aurons en 2014.  Methods  Etude transversale chez les enfants de moins de 15 ans atteint de paludisme (TDR positif). La participation consiste à un seul prélèvement de sang capillaire. L échantillon de sang est récolté sur un papier filtre et envoyé dans le laboratoire du MRTC (Bamako) pour l analyse.  Reporting  La collecte de données et des échantillons a été réalisée entre février et mai 2014. Les résultats des analyses (MRTC) étaient disponibles en mai 2015. Les résultats préliminaires ont été présentés à la Journée Scientifique d Epicentre en juin 2015. Rapport à finaliser.  Résultats principales: la présence de la triple mutation dhfr était dans 93 8% dans la zone avec deux cycles de CPS  de 100% dans la zone avec un cycle de CPS et de 99 5% dans la zone sans CPS. La présence de la quintuple mutation dhfr et dhps était dans 2 5% dans la zone avec deux cycles de CPS  de 8 0% dans la zone avec un cycle de CPS et de 3 8% dans la zone sans CPS.,"<p style=""font-size: 14.6667px; font-family: Calibri  sans-serif; margin: 0px 0px 13.3333px;""><strong>SUMMARY</strong></p>  <p style=""font-size: 14.6667px; font-family: Calibri  sans-serif; margin: 0px 0px 13.3333px;""><strong>Background</strong></p>  <p style=""font-size: 14.6667px; font-family: Calibri  sans-serif; margin: 0px 0px 13.3333px;"">Les résultats de l évaluation sur les marqueurs moléculaires de la résistance à la sulfadoxine-pyriméthamine et à l amodiaquine réalisée avant la mise en place de la CPS à Moïssala (Tchad) en 2012 donnent une certaine confiance quant à l utilisation de la combinaison SP+AQ&nbsp;; toutefois  la quasi-fixation des génotypes mutants du gène <em>phdhfr</em> justifie une surveillance rapprochée de l évolution.</p>  <p style=""font-size: 14.6667px; font-family: Calibri  sans-serif; margin: 0px 0px 13.3333px;"">En 2014 nous avons réalisé une évaluation de la mutation des marqueurs de la résistance à la SP et à l AQ dans des zones après un ou deux cycles de CPS.</p>  <p style=""font-size: 14.6667px; font-family: Calibri  sans-serif; margin: 0px 0px 13.3333px;""><strong>Objectives</strong></p>  <ul><li><span style=""font-size: 14.6667px; font-family: Calibri  sans-serif;"">Estimer la proportion d infections à <em>P. falciparum</em> avec des mutations dans les marqueurs <em>pfdhfr</em> et <em>pfdhps</em> pour le SP et <em>pfcrt</em> et <em>pfmdr</em> pour l AQ&nbsp;;</span></li><li><span style=""font-size: 14.6667px; font-family: Calibri  sans-serif;"">Comparer les proportions de mutations moléculaires entre les aires de santé qui ont eu deux rounds de CPS  les aires de santé qui ont un round de CPS et les aires de santé qui n ont pas encore eu aucun CPS  mais qui l aurons en 2014.</span></li></ul>  <p style=""font-size: 14.6667px; font-family: Calibri  sans-serif; margin: 0px 0px 13.3333px;""><strong>Methods</strong></p>  <p style=""font-size: 14.6667px; font-family: Calibri  sans-serif; margin: 0px 0px 13.3333px;"">Etude transversale chez les enfants de moins de 15 ans atteint de paludisme (TDR positif). La participation consiste à un seul prélèvement de sang capillaire. L échantillon de sang est récolté sur un papier filtre et envoyé dans le laboratoire du MRTC (Bamako) pour l analyse.</p>  <p style=""font-size: 14.6667px; font-family: Calibri  sans-serif; margin: 0px 0px 13.3333px;""><strong>Reporting</strong></p>  <p style=""font-size: 14.6667px; font-family: Calibri  sans-serif; margin: 0px 0px 13.3333px;"">La collecte de données et des échantillons a été réalisée entre février et mai 2014. Les résultats des analyses (MRTC) étaient disponibles en mai 2015. Les résultats préliminaires ont été présentés à la Journée Scientifique d Epicentre en juin 2015. Rapport à finaliser.</p>  <p style=""font-size: 14.6667px; font-family: Calibri  sans-serif; margin: 0px 0px 13.3333px;"">Résultats principales: la présence de la triple mutation <em>dhfr</em> était dans 93 8% dans la zone avec deux cycles de CPS  de 100% dans la zone avec un cycle de CPS et de 99 5% dans la zone sans CPS. La présence de la quintuple mutation <em>dhfr</em> et <em>dhps</em> était dans 2 5% dans la zone avec deux cycles de CPS  de 8 0% dans la zone avec un cycle de CPS et de 3 8% dans la zone sans CPS.</p><br />",1,,23,130,5,9,1,4,9,23,299,4,"",1,,,"","","","",,0,,,,,,"",1,0,"","",,,,,,,,,,,,22,
251,256,2013-12-03 ,2017-02-06 ,Use of measles vaccine in a controlled temperature chain (CTC) ,823467,,"",2014-01-01,2017-01-02,A partir du 1/1/2017 : financé par OCBBackgroundThis study aims to evaluate the thermostability of measles and the combined measles and rubella vaccines to have a better understanding of the possibility of administering these vaccines in Controlled Temperature Chain. &nbsp;Methods Vaccine vials exposed to temperatures outside the cold chain at field conditions and tested at the laboratory.Reporting Updates on the progress of the project will be provided to medical department referent and field teams regularly.&nbsp;,"<p class=""MsoNormal"" style=""margin-bottom: 0.0001pt;""><span style=""font-family: Helv  sans-serif;""><strong>A partir du 1/1/2017 : financé par OCB</strong></span></p><p class=""MsoNormal"" style=""margin-bottom: 0.0001pt;""><strong><span lang=""EN-GB"" style=""font-family: Helv  sans-serif;"">Background</span></strong></p><p class=""MsoNormal"" style=""margin-bottom: 0.0001pt;""><span lang=""EN-GB"" style=""font-family: Helv  sans-serif;"">This study aims to evaluate the thermostability of measles and the combined measles and rubella vaccines to have a better understanding of the possibility of administering these vaccines in Controlled Temperature Chain. </span></p><p class=""MsoNormal"" style=""margin-bottom: 0.0001pt;""><strong><span lang=""EN-GB"" style=""font-family: Helv  sans-serif;"">&nbsp;</span></strong></p><p class=""MsoNormal"" style=""margin-bottom: 0.0001pt;""><strong><span lang=""EN-GB"" style=""font-family: Helv  sans-serif;"">Methods </span></strong></p><p class=""MsoNormal"" style=""margin-bottom: 0.0001pt;""><span lang=""EN-GB"" style=""font-family: Helv  sans-serif;"">Vaccine vials exposed to temperatures outside the cold chain at field conditions and tested at the laboratory.</span></p><p class=""MsoNormal"" style=""margin-bottom: 0.0001pt;""><strong><span lang=""EN-GB"" style=""font-family: Helv  sans-serif;"">Reporting</span></strong></p><p> </p><p class=""MsoNormal"" style=""margin-bottom: 0.0001pt;""><span lang=""EN-GB"" style=""font-family: Helv  sans-serif;"">Updates on the progress of the project will be provided to medical department referent and field teams regularly.&nbsp;</span></p>",1,,2,60,1,2,1,1,1,2,265,4,,1,,,,,,,,2,1,1,0,1,0,,0,0,,,1,6,4,,1,1,,1,9,3,,43,
